time	V(a,b)	V(a,n)	V(b,n)	V(c,n)	I(Ra)	I(Rla)
0.000000000000000e+000	-2.360343e+002	-3.319518e+001	2.028392e+002	-1.696440e+002	-2.728976e-004	6.681223e-001
1.000000000028756e-007	-2.359737e+002	-3.320193e+001	2.027718e+002	-1.695698e+002	-2.727357e-004	6.678694e-001
3.000000000016878e-007	-2.358524e+002	-3.321542e+001	2.026370e+002	-1.694216e+002	-1.485814e-004	6.673638e-001
6.999999999993123e-007	-2.356098e+002	-3.324236e+001	2.023674e+002	-1.691251e+002	3.117659e-004	6.663524e-001
9.999999999940612e-007	-2.354278e+002	-3.326254e+001	2.021652e+002	-1.689027e+002	4.708556e-004	6.655939e-001
