time	V(c,n)
5.62030e-03	1.31796e+02
5.62100e-03	1.31928e+02
5.70410e-03	1.75049e+02
5.70500e-03	1.75003e+02
5.72330e-03	1.65881e+02
5.72400e-03	1.66002e+02
5.77429e-03	1.91196e+02
5.81230e-03	2.09814e+02
5.81300e-03	2.09679e+02
5.84600e-03	1.92089e+02
5.90200e-03	1.61622e+02
5.93130e-03	1.45552e+02
5.93200e-03	1.45639e+02
6.01086e-03	1.81613e+02
6.02430e-03	1.87650e+02
6.02500e-03	1.87491e+02
6.03930e-03	1.79472e+02
6.04000e-03	1.79549e+02
6.08088e-03	1.97535e+02
6.13630e-03	2.21314e+02
6.13700e-03	2.21136e+02
6.18629e-03	1.91674e+02
6.24130e-03	1.58341e+02
6.24200e-03	1.58387e+02
6.32384e-03	1.90993e+02
6.34230e-03	1.98232e+02
6.34300e-03	1.98034e+02
6.35530e-03	1.90436e+02
6.35600e-03	1.90474e+02
6.41600e-03	2.13378e+02
6.46130e-03	2.30157e+02
6.46200e-03	2.29939e+02
6.52571e-03	1.88226e+02
6.55230e-03	1.70690e+02
6.55300e-03	1.70700e+02
6.64471e-03	2.02406e+02
6.66030e-03	2.07698e+02
6.66100e-03	2.07463e+02
6.67230e-03	1.99899e+02
6.67300e-03	1.99900e+02
6.73414e-03	2.20125e+02
6.78530e-03	2.36490e+02
6.78600e-03	2.36236e+02
6.86430e-03	1.81096e+02
6.86500e-03	1.81073e+02
6.97710e-03	2.14583e+02
6.97800e-03	2.14341e+02
6.99030e-03	2.05546e+02
6.99100e-03	2.05515e+02
7.06243e-03	2.25953e+02
7.10830e-03	2.38617e+02
7.10900e-03	2.38334e+02
7.17530e-03	1.89008e+02
7.17600e-03	1.88958e+02
7.29410e-03	2.19800e+02
7.29500e-03	2.19525e+02
7.30930e-03	2.08766e+02
7.31000e-03	2.08709e+02
7.38886e-03	2.28452e+02
7.43130e-03	2.38695e+02
7.43200e-03	2.38389e+02
7.48830e-03	1.94741e+02
7.48900e-03	1.94669e+02
7.60930e-03	2.22501e+02
7.61000e-03	2.22188e+02
7.62830e-03	2.07891e+02
7.62900e-03	2.07815e+02
7.73057e-03	2.30464e+02
7.75430e-03	2.35566e+02
7.75500e-03	2.35244e+02
7.80053e-03	1.98952e+02
7.80100e-03	1.98882e+02
7.92430e-03	2.24866e+02
7.92500e-03	2.24539e+02
7.94830e-03	2.05862e+02
7.94900e-03	2.05772e+02
8.06114e-03	2.28742e+02
8.07630e-03	2.31748e+02
8.07700e-03	2.31416e+02
8.11330e-03	2.01976e+02
8.11400e-03	2.01879e+02
8.23930e-03	2.26594e+02
8.24000e-03	2.26258e+02
8.26930e-03	2.02379e+02
8.27000e-03	2.02280e+02
8.39730e-03	2.26915e+02
8.39800e-03	2.26577e+02
8.42730e-03	2.02594e+02
8.42800e-03	2.02493e+02
8.55230e-03	2.26152e+02
8.55300e-03	2.25812e+02
8.59030e-03	1.95179e+02
8.59100e-03	1.95077e+02
8.71830e-03	2.19361e+02
8.71900e-03	2.19022e+02
8.74130e-03	2.00784e+02
8.74200e-03	2.00683e+02
8.86630e-03	2.24462e+02
8.86700e-03	2.24123e+02
8.91230e-03	1.86994e+02
8.91300e-03	1.86893e+02
9.02614e-03	2.09015e+02
9.03830e-03	2.11387e+02
9.03900e-03	2.11054e+02
9.05630e-03	1.97036e+02
9.05700e-03	1.96940e+02
9.17830e-03	2.21081e+02
9.17900e-03	2.20747e+02
9.23430e-03	1.75898e+02
9.23500e-03	1.75804e+02
9.31757e-03	1.92852e+02
9.35730e-03	2.01211e+02
9.35800e-03	2.00887e+02
9.37230e-03	1.89515e+02
9.37300e-03	1.89429e+02
9.49030e-03	2.14611e+02
9.49100e-03	2.14288e+02
9.55830e-03	1.60880e+02
9.55900e-03	1.60800e+02
9.61688e-03	1.73895e+02
9.67630e-03	1.87716e+02
9.67700e-03	1.87410e+02
9.68830e-03	1.78704e+02
9.68900e-03	1.78635e+02
9.80230e-03	2.05815e+02
9.80300e-03	2.05511e+02
9.88130e-03	1.45502e+02
9.88200e-03	1.45442e+02
9.94757e-03	1.62290e+02
9.99330e-03	1.74378e+02
9.99400e-03	1.74094e+02
1.00063e-02	1.65010e+02
1.00070e-02	1.64964e+02
1.01133e-02	1.94011e+02
1.01140e-02	1.93732e+02
1.01980e-02	1.32281e+02
1.02053e-02	1.27036e+02
1.02060e-02	1.27002e+02
1.02469e-02	1.39048e+02
1.03113e-02	1.58585e+02
1.03120e-02	1.58329e+02
1.03233e-02	1.50454e+02
1.03240e-02	1.50437e+02
1.04243e-02	1.82047e+02
1.04250e-02	1.81797e+02
1.04994e-02	1.30449e+02
1.05293e-02	1.10136e+02
1.05300e-02	1.10135e+02
1.05854e-02	1.29108e+02
1.06273e-02	1.43796e+02
1.06280e-02	1.43573e+02
1.06423e-02	1.34264e+02
1.06430e-02	1.34279e+02
1.07353e-02	1.67735e+02
